Worker ID,Skill Category,Skill Level,Years of Experience,Current Task Assigned,Shift Availability,Performance Rating,Certifications,Task Skills Required,Task Priority,Workload for Shift
1,Quality Inspection,Low,3,Cell Assembly,Flexible,4.3,None,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,14
2,Electrical Wiring,High,1,Pack Assembly,Flexible,4.7,Electrical Engineer,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,14
3,Electrical Wiring,High,6,Module Assembly,Morning,4.9,Quality Control Certified,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,15
4,Robotics,Low,1,Pack Assembly,Night,3.1,Quality Control Certified,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,10
5,Electrical Wiring,Low,1,Cell Assembly,Evening,3.6,Electrical Engineer,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,12
6,BMS Integration,High,3,Module Assembly,Flexible,4.9,Mechanical Technician,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,14
7,BMS Integration,High,6,Final Testing,Night,4.8,Certified BMS Engineer,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,10
8,Soldering,Low,8,Cell Assembly,Morning,3.6,Electrical Engineer,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,15
9,Automation,Medium,7,Cell Assembly,Flexible,4.4,Quality Control Certified,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,14
10,BMS Integration,Medium,1,Module Assembly,Evening,4.7,None,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,12
11,Electrical Wiring,Medium,5,Cell Assembly,Night,4.9,Certified BMS Engineer,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,10
12,BMS Integration,High,8,Final Testing,Night,4.6,Quality Control Certified,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,10
13,Soldering,Low,2,Final Testing,Morning,3.0,Certified Welder,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,15
14,Mechanical Assembly,Low,7,Cell Assembly,Morning,3.8,Certified BMS Engineer,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,15
15,Robotics,Low,6,Pack Assembly,Flexible,3.6,Certified Welder,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,14
16,Soldering,High,7,Module Assembly,Morning,3.1,Mechanical Technician,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,15
17,Mechanical Assembly,Low,1,Final Testing,Evening,4.4,Certified Welder,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,12
18,Mechanical Assembly,Low,8,Cell Assembly,Night,3.3,Electrical Engineer,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,10
19,Automation,Low,6,Pack Assembly,Night,4.5,Quality Control Certified,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,10
20,Mechanical Assembly,High,5,Module Assembly,Morning,4.4,Mechanical Technician,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,15
21,Electrical Wiring,Medium,4,Module Assembly,Flexible,3.6,Electrical Engineer,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,14
22,Quality Inspection,Low,4,Pack Assembly,Evening,4.2,Electrical Engineer,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,12
23,Automation,Medium,1,Final Testing,Morning,4.4,Certified Welder,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,15
24,Packaging,High,6,Pack Assembly,Evening,4.7,Certified BMS Engineer,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,12
25,Packaging,Low,6,Module Assembly,Flexible,4.8,Certified Welder,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,14
26,Soldering,Low,3,Pack Assembly,Evening,5.0,Certified BMS Engineer,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,12
27,Quality Inspection,Medium,6,Module Assembly,Morning,4.7,Quality Control Certified,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,15
28,Welding,Medium,7,Module Assembly,Night,4.1,Certified BMS Engineer,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,10
29,Automation,Low,8,Cell Assembly,Evening,3.4,Mechanical Technician,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,12
30,Electrical Wiring,Medium,7,Pack Assembly,Flexible,3.4,Electrical Engineer,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,14
31,Quality Inspection,Medium,5,Module Assembly,Morning,4.9,Certified BMS Engineer,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,15
32,Electrical Wiring,Medium,1,Final Testing,Flexible,4.0,Certified BMS Engineer,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,14
33,BMS Integration,Medium,6,Cell Assembly,Night,4.8,Quality Control Certified,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,10
34,Quality Inspection,Medium,5,Final Testing,Flexible,3.7,Mechanical Technician,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,14
35,BMS Integration,Medium,6,Cell Assembly,Morning,4.0,Certified BMS Engineer,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,15
36,Soldering,High,5,Cell Assembly,Evening,3.8,None,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,12
37,BMS Integration,Low,6,Final Testing,Morning,3.2,Electrical Engineer,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,15
38,Automation,Low,2,Module Assembly,Night,3.4,Mechanical Technician,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,10
39,Welding,High,6,Final Testing,Evening,3.0,Electrical Engineer,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,12
40,Electrical Wiring,Low,8,Final Testing,Flexible,3.8,None,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,14
41,Electrical Wiring,Medium,3,Module Assembly,Night,3.6,None,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,10
42,Soldering,High,6,Module Assembly,Night,3.1,Electrical Engineer,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,10
43,Electrical Wiring,High,7,Module Assembly,Morning,3.2,Mechanical Technician,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,15
44,Automation,Low,7,Cell Assembly,Flexible,4.8,Quality Control Certified,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,14
45,Robotics,Medium,3,Final Testing,Night,4.5,Electrical Engineer,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,10
46,Mechanical Assembly,High,2,Module Assembly,Evening,4.5,Certified Welder,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,12
47,Welding,High,8,Pack Assembly,Evening,4.0,Mechanical Technician,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,12
48,Automation,Medium,4,Module Assembly,Flexible,4.2,Mechanical Technician,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,14
49,Quality Inspection,Medium,2,Pack Assembly,Flexible,3.7,Quality Control Certified,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,14
50,Welding,High,6,Cell Assembly,Night,4.3,Mechanical Technician,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,10
51,Automation,High,2,Module Assembly,Morning,4.5,None,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,15
52,Welding,High,2,Module Assembly,Flexible,4.6,Electrical Engineer,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,14
53,Packaging,High,2,Final Testing,Evening,4.3,Quality Control Certified,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,12
54,Soldering,High,4,Final Testing,Evening,3.3,Mechanical Technician,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,12
55,BMS Integration,Medium,6,Pack Assembly,Evening,4.1,Mechanical Technician,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,12
56,Welding,High,3,Module Assembly,Night,4.2,Certified Welder,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,10
57,Welding,Medium,6,Final Testing,Flexible,4.1,None,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,14
58,Quality Inspection,Medium,4,Final Testing,Evening,3.1,None,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,12
59,Welding,High,4,Module Assembly,Flexible,3.4,Certified BMS Engineer,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,14
60,BMS Integration,High,3,Pack Assembly,Night,3.7,Quality Control Certified,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,10
61,Welding,Medium,6,Cell Assembly,Morning,3.7,Electrical Engineer,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,15
62,Automation,High,6,Cell Assembly,Night,4.6,Quality Control Certified,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,10
63,Packaging,High,3,Module Assembly,Morning,3.5,Certified Welder,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,15
64,Electrical Wiring,High,7,Final Testing,Morning,4.2,Certified BMS Engineer,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,15
65,Electrical Wiring,Low,2,Cell Assembly,Morning,3.0,Quality Control Certified,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,15
66,Quality Inspection,Low,1,Final Testing,Flexible,3.5,Mechanical Technician,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,14
67,Robotics,Medium,3,Final Testing,Flexible,3.1,Certified BMS Engineer,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,14
68,Welding,Low,3,Final Testing,Flexible,4.8,Mechanical Technician,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,14
69,Welding,High,2,Pack Assembly,Flexible,4.4,Quality Control Certified,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,14
70,Soldering,Low,4,Cell Assembly,Morning,4.0,None,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,15
71,Soldering,Low,2,Module Assembly,Night,4.9,Mechanical Technician,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,10
72,Robotics,Medium,5,Final Testing,Evening,4.2,Electrical Engineer,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,12
73,Quality Inspection,Low,6,Cell Assembly,Morning,3.2,Mechanical Technician,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,15
